Topic 0:,Topic 1:,Topic 2:,Topic 3:,Topic 4:,Topic 5:,Topic 6:,Topic 7:,Topic 8:,Topic 9:
government,america,negro,counsel,offense,previous,war,democracy,dollar,freedom
states,world,business,thought,war,injunction,british,speaks,paying,america
public,nation,tariff,purpose,god,shall,savage,know,deal,liberty
power,new,amendment,action,answered,reposed,cruel,life,debt,tyranny
shall,today,south,set,altogether,thereof,prisoner,spirit,payment,ideal
country,let,race,thing,union,oath,captive,nations,specie,seen
constitution,freedom,employee,politics,pray,entertain,usage,nation,advisable,excuse
union,americans,proper,shall,cease,magistrate,wa,body,desirable,choice
nation,time,likely,stand,address,ceremony,honorable,1789,law,defended
law,life,canal,current,wa,punishment,render,measured,question,americans
duty,know,suitable,drawn,drawn,execution,reflect,peril,determination,came
great,peace,incoming,industrial,slave,instance,carried,wa,pay,equally
wa,work,philippines,despite,let,witness,received,later,country,equality
right,god,legislation,immediate,shall,requires,battle,freely,ultimately,entire
united,child,passed,principle,year,official,reliance,human,ability,equal
principle,century,trade,equally,seeking,distinguished,sympathy,sacred,best,environment
congress,make,feeling,life,said,execute,suffering,mind,careful,entitled
peace,american,coast,private,came,function,issue,midst,greatest,entirely
foreign,generation,railroad,process,conflict,express,united,acted,paid,enterprise
citizens,help,statute,influence,deprecated,endeavor,sense,person,requires,entertained
inaugJamesKPolk-1,inaugWilliamJClinton-2,inaugWilliamHowardTaft-1,inaugWoodrowWilson-2,inaugAbrahamLincoln-2,inaugGeorgeWashington-2,inaugJamesMadison-2,inaugFranklinDRoosevelt-3,inaugUlyssesSGrant-1,inaugGeorgeWBush-2
inaugWilliamHenryHarrison-1,inaugWilliamJClinton-1,inaugZacharyTaylor-1,inaugWoodrowWilson-1,inaugZacharyTaylor-1,inaugZacharyTaylor-1,inaugJamesMadison-1,inaugJamesMadison-1,inaugZacharyTaylor-1,inaugZacharyTaylor-1
inaugJamesMonroe-1,inaugRichardNixon-2,inaugFranklinDRoosevelt-3,inaugFranklinDRoosevelt-3,inaugFranklinDRoosevelt-4,inaugJamesMadison-1,inaugJamesGarfield-1,inaugJamesGarfield-1,inaugFranklinDRoosevelt-3,inaugJamesMadison-1
inaugJamesBuchanan-1,inaugGeorgeBush-1,inaugJamesGarfield-1,inaugJamesGarfield-1,inaugJamesGarfield-1,inaugJamesGarfield-1,inaugJamesBuchanan-1,inaugJamesBuchanan-1,inaugJamesGarfield-1,inaugJamesGarfield-1
